listing_id,source,locality,locality_norm,bhk,area_sqft,rent_monthly,deposit,property_type,furnishing,floor_num,total_floors,first_seen_at,source_url,predicted_rent,value_score,is_deal,lat,lon,dist_nearest_metro_km,nearest_metro_station,dist_orr_km,dist_whitefield_km,dist_ecity_km,dist_manyata_km,rent_per_sqft,save_pct,deposit_to_rent,bhk_int,floor_ratio,source_bucket
95,nobroker,Indiranagar,indiranagar,1.0,300.0,12000.0,30000.0,apartment,semi,1.0,7.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-10000/8a9f8b83950790bf019507c518630a67/detail,12641.24609375,0.050726493970166486,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,40.0,5.1,2.5,1,0.14,nobroker
96,nobroker,Indiranagar,indiranagar,2.0,700.0,20000.0,100000.0,independent_house,unfurnished,,,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-20000/8aa9a8d8a02931de01a029c1b21a7131/detail,20020.564453125,0.0010271665003825656,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,28.571428571428573,0.1,5.0,2,,nobroker
97,nobroker,Indiranagar,indiranagar,1.0,700.0,20000.0,100000.0,independent_house,semi,1.0,5.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-23000/8aa9b4529be3a803019be3f9ce9412af/detail,21047.447265625,0.04976600023774409,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,28.571428571428573,5.0,5.0,1,0.2,nobroker
99,nobroker,Indiranagar,indiranagar,3.0,2200.0,250000.0,1250000.0,apartment,semi,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-250000/8aa9b20b9f546316019f54697c610112/detail,199480.1875,-0.25325729403577985,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,113.63636363636364,-25.3,5.0,3,0.17,nobroker
100,nobroker,Indiranagar,indiranagar,2.0,1250.0,30000.0,150000.0,apartment,unfurnished,1.0,9.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in--indiranagar-bangalore-for-rs-30000/8aa9b901a06a7afe01a06ac441a421da/detail,30422.884765625,0.01390021915682434,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,24.0,1.4,5.0,2,0.11,nobroker
101,nobroker,outside_coverage,outside_coverage,2.0,600.0,14000.0,100000.0,independent_house,unfurnished,,,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-subash-nagar-bangalore-for-rs-14000/8aa997889fcbb0d1019fcd16bcdb01e6/detail,14011.7470703125,0.0008383729918583242,0.0,,,,,,,,,23.333333333333332,0.1,7.14,2,,nobroker
102,nobroker,Indiranagar,indiranagar,1.0,400.0,18000.0,65000.0,independent_house,semi,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-18000/8a9f92e373d76cda0173dd032f502b0e/detail,18023.208984375,0.001287727640239912,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,45.0,0.1,3.61,1,0.17,nobroker
103,nobroker,Indiranagar,indiranagar,3.0,2300.0,70000.0,350000.0,apartment,semi,1.0,48.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-70000/8aa9b4849ea7a7a0019ea7b31a8102dc/detail,77000.6953125,0.09091729995538798,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,30.434782608695652,9.1,5.0,3,0.02,nobroker
104,nobroker,Indiranagar,indiranagar,1.0,800.0,30000.0,120000.0,independent_house,unfurnished,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-784-d-stage-3-indiranagar-bengaluru-karnataka-560038-india-bangalore-for-rs-30000/8aa9ba129f9d576b019f9d7c65ae1dbf/detail,27518.986328125,-0.09015643389957828,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,37.5,-9.0,4.0,1,0.17,nobroker
105,nobroker,Indiranagar,indiranagar,3.0,1638.0,150000.0,600000.0,apartment,semi,1.0,8.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-150000/8aa9ad939fb63c60019fb6b2ca1e43e4/detail,150207.671875,0.0013825650341802822,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,91.57509157509158,0.1,4.0,3,0.12,nobroker
